 vim | 2:7.4.052-1ubuntu3     | trusty            | arm64
 vim | 2:7.4.052-1ubuntu3.1   | trusty-security   | arm64
 vim | 2:7.4.052-1ubuntu3.1   | trusty-updates    | arm64
 vim | 2:7.4.1689-3ubuntu1    | xenial            | arm64
 vim | 2:7.4.1689-3ubuntu1.5  | xenial-security   | arm64
 vim | 2:7.4.1689-3ubuntu1.5  | xenial-updates    | arm64
 vim | 2:8.0.1453-1ubuntu1    | bionic            | arm64
 vim | 2:8.0.1453-1ubuntu1.13 | bionic-security   | arm64
 vim | 2:8.0.1453-1ubuntu1.13 | bionic-updates    | arm64
 vim | 2:8.1.2269-1ubuntu5    | focal             | arm64
 vim | 2:8.1.2269-1ubuntu5.32 | focal-security    | arm64
 vim | 2:8.1.2269-1ubuntu5.32 | focal-updates     | arm64
 vim | 2:8.2.3995-1ubuntu2    | jammy             | arm64
 vim | 2:8.2.3995-1ubuntu2.35 | jammy-security    | arm64
 vim | 2:8.2.3995-1ubuntu2.35 | jammy-updates     | arm64
 vim | 2:9.1.0016-1ubuntu7    | noble             | arm64
 vim | 2:9.1.0016-1ubuntu7.19 | noble-security    | arm64
 vim | 2:9.1.0016-1ubuntu7.19 | noble-updates     | arm64
 vim | 2:9.1.2141-1ubuntu4    | resolute          | arm64
 vim | 2:9.1.2141-1ubuntu4.8  | resolute-security | arm64
 vim | 2:9.1.2141-1ubuntu4.8  | resolute-updates  | arm64
 vim | 2:9.2.0858-1ubuntu1    | stonking          | arm64
 vim | 2:9.2.0858-1ubuntu2    | stonking-proposed | arm64
